"Reference","Value","Footprint","myMANUFACTURER","myMPN"
"C1","0.1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","KEMET","C0402C104K4RACTU"
"C2","0.1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","KEMET","C0402C104K4RACTU"
"C3","0.1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","KEMET","C0402C104K4RACTU"
"C4","0.1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","KEMET","C0402C104K4RACTU"
"C5","4.7uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05A475MP5NRNC"
"C6","0.1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","KEMET","C0402C104K4RACTU"
"C7","0.1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","KEMET","C0402C104K4RACTU"
"C8","10uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Murata Electronics","GRM155R61A106ME11D"
"C9","0.1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","KEMET","C0402C104K4RACTU"
"C10","0.1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","KEMET","C0402C104K4RACTU"
"C11","0.1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","KEMET","C0402C104K4RACTU"
"C12","0.1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","KEMET","C0402C104K4RACTU"
"C13","4.7uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Murata Electronics","GRM155C61E475ME15D"
"C14","4.7uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Murata Electronics","GRM155C61E475ME15D"
"C15","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","NIC Components Corp","NMC0402X5R105K6.3TRPF"
"C16","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","NIC Components Corp","NMC0402X5R105K6.3TRPF"
"C17","10uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Murata Electronics","GRM155R61A106ME11D"
"C18","0.1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","KEMET","C0402C104K4RACTU"
"C19","10uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Murata Electronics","GRM155R61A106ME11D"
"C20","10uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Murata Electronics","GRM155R61A106ME11D"
"D1","GREEN LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","XINGLIGHT","XL-1608PGC-06"
"D2","RED LED","LED_SMD:LED_0603_1608Metric","Lite-On Inc.","LTST-C190KRKT"
"J1","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","GCT","USB4105-GF-A"
"J2","20600-018E-01","MT2025513:IPEX_20600-018E-01","I-PEX","20600-018E-01"
"J3","SM02B-GHS-TB","MT2025513:JST_SM02B-GHS-TB","JST Sales America Inc.","SM02B-GHS-TB"
"L1","2.2uH","Inductor_SMD:L_1008_2520Metric_Pad1.43x2.20mm_HandSolder","Samsung Electro-Mechanics","CIGT252008LM2R2MNE"
"MK1","MMICT5848-00-012","MT2025513:MIC_MMICT5848-00-012","TDK InvenSense","MMICT5848-00-012"
"R1","820E","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","TE Connectivity Passive Product","CRGCQ0402F820R"
"R2","10k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Stackpole Electronics Inc","RMCF0402FT10K0"
"R3","10k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Stackpole Electronics Inc","RMCF0402FT10K0"
"R4","10k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Stackpole Electronics Inc","RMCF0402FT10K0"
"R5","22E","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-0722RL"
"R6","22E","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-0722RL"
"R7","5.1k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-075K1L"
"R8","5.1k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-075K1L"
"R9","4.7k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Panasonic Industry","ERJ-2RKF2003X"
"R10","4.7k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402JR-074K7L"
"R11","4.7k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402JR-074K7L"
"R12","2.2k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Panasonic Industry","ERA-2AEB222X"
"R13","2.2k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Panasonic Industry","ERA-2AEB222X"
"R14","2.2k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Panasonic Industry","ERA-2AEB222X"
"R15","10k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Stackpole Electronics Inc","RMCF0402FT10K0"
"R16","1k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-071KL"
"R17","0E","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402JR-070RL"
"R18","DNI","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402JR-070RL"
"R19","100k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-07100KL"
"R20","1k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-071KL"
"R21","2k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402JR-072KL"
"R22","560E","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402JR-07560RL"
"R23","100E","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-07100RL"
"S1","PTS847MM160LSMTR2_LFS","MT2025513:SW_PTS847MM160LSMTR2_LFS","C&K","PTS847MM160LSMTR2 LFS"
"SW1","PTS526_SM15_SMTR2_LFS","MT2025513:PTS526SM15SMTR2LFS","C&K","PTS526SK15SMTR2 LFS"
"SW2","PTS526_SM15_SMTR2_LFS","MT2025513:PTS526SM15SMTR2LFS","C&K","PTS526SK15SMTR2 LFS"
"U1","ESP32-S3-WROOM-1","MT2025513:ESP32-S3-WROOM-1","Espressif Systems","ESP32-S3-WROOM-1-N8R8"
"U2","PCA9306DP","Package_SO:TSSOP-8_3x3mm_P0.65mm","NXP USA Inc.","PCA9306DP1,125"
"U3","MAX30102","OptoDevice:Maxim_OLGA-14_3.3x5.6mm_P0.8mm","Analog Devices Inc./Maxim Integrated","MAX30102EFD+T"
"U4","BNO086","MT2025513:BNO086","CEVA Technologies, Inc.","BNO086"
"U5","MCP73831T-2ACI_OT","MT2025513:SOT95P280X145-5N","Microchip Technology","MCP73831T-2ACI/OT"
"U6","LD56020M180R","MT2025513:SOT23-5L_STM","STMicroelectronics","LD56020M180R"
"U7","TPS63001","Package_SON:Texas_DRC0010J_ThermalVias","Texas Instruments","TPS63001DRCR"
